
########## 10 go test ./...（服务层 + router 层 HTTP 全链路） ##########
?   	cet46/server/cmd/import-users	[no test files]
?   	cet46/server/cmd/migrate	[no test files]
?   	cet46/server/cmd/qbank	[no test files]
?   	cet46/server/cmd/seed-teacher	[no test files]
?   	cet46/server/cmd/server	[no test files]
ok  	cet46/server/internal/auth	(cached)
ok  	cet46/server/internal/config	(cached)
ok  	cet46/server/internal/database	(cached)
?   	cet46/server/internal/dto	[no test files]
?   	cet46/server/internal/handler	[no test files]
?   	cet46/server/internal/middleware	[no test files]
ok  	cet46/server/internal/model	(cached)
?   	cet46/server/internal/pkg/apperror	[no test files]
?   	cet46/server/internal/pkg/response	[no test files]
ok  	cet46/server/internal/qbank	(cached)
ok  	cet46/server/internal/roster	(cached)
ok  	cet46/server/internal/router	15.537s
ok  	cet46/server/internal/service	9.319s
?   	cet46/server/internal/testsupport	[no test files]


########## 10b 本阶段新增/相关的测试用例（逐个列出） ##########
--- PASS: TestAnswerIndexesHandlesLetterAndMultiBlank (0.00s)
--- PASS: TestParseXLSXReportsBadRowsWithLineNumbers (0.00s)
--- PASS: TestParseRejectsMissingRequiredColumns (0.00s)
--- PASS: TestParseCSVHandlesGBKAndBOM (0.00s)
--- PASS: TestTemplateIsParsableAndDocumentsEnums (0.01s)
--- PASS: TestParseKeepsUnknownEnumForErrorMessage (0.00s)
--- PASS: TestRuleOfPrototypeMissingReviewHintFailsLoudly (0.00s)
--- PASS: TestPrototypeConversionRequiresClassName (0.00s)
--- PASS: TestUnitLevelQuestionCRUD (0.31s)
--- PASS: TestContentScopedToOwningTeacher (0.35s)
--- PASS: TestQuizQuestionsFilterByBandAndEnabled (0.48s)
--- PASS: TestQuizLevelsCountsVisibleQuestionsPerBand (0.34s)
--- PASS: TestImportFortyStudents (2.48s)
--- PASS: TestImportDefaultPasswordIsUsername (0.49s)
--- PASS: TestImportExplicitPassword (0.39s)
--- PASS: TestImportReportsBadRowsWithLineNumbers (0.54s)
--- PASS: TestImportReportsFieldErrors (0.30s)
--- PASS: TestImportReusesExistingClass (0.48s)
--- PASS: TestImportClaimsOrphanClass (0.31s)
--- PASS: TestImportDuplicateWithinFileReportsOnce (0.27s)
--- PASS: TestImportEmptyRows (0.26s)
--- PASS: TestImportPrototypeBankWritesAll66Questions (0.28s)
--- PASS: TestImportPrototypeBankIsIdempotent (0.30s)
--- PASS: TestImportReportsBadRowsAndWritesNothing (0.26s)
--- PASS: TestImportRejectsClassesOfOtherTeachers (0.33s)
--- PASS: TestUserListScopedToTeacherClasses (0.50s)
--- PASS: TestGetForTeacherHidesOtherTeachersStudents (0.51s)
--- PASS: TestImportPrototypeBankOverHTTP (0.36s)
--- PASS: TestQuizQuestionsByBandAndLevel (0.58s)
--- PASS: TestQuizQuestionsIsolatedByClass (0.62s)
--- PASS: TestQuizQuestionsSkipDisabled (0.52s)
--- PASS: TestQuizQuestionsDoNotLeakAnswers (0.49s)
--- PASS: TestQuestionImportReportsBadRowsOverHTTP (0.31s)
--- PASS: TestQuestionTemplateDownload (0.31s)
--- PASS: TestContentRoutesRequireAuthAndTeacherRole (0.46s)
--- PASS: TestContentScopedToOwningTeacherOverHTTP (0.45s)
--- PASS: TestQuestionCRUDOverHTTP (0.33s)
--- PASS: TestHealthIsEnveloped (0.21s)
--- PASS: TestLoginReturnsJWT (0.30s)
--- PASS: TestLoginRejectsWrongPassword (0.31s)
--- PASS: TestLoginRejectsMissingFields (0.20s)
--- PASS: TestMustChangePwdBlocksBusinessAPIsUntilChanged (0.55s)
--- PASS: TestChangePasswordRejectsBadInput (0.47s)
--- PASS: TestAuthRequiredAndRoleGate (0.32s)
--- PASS: TestClassCRUD (0.39s)
--- PASS: TestCreateUserDefaultsInitialPasswordToUsername (0.65s)
--- PASS: TestImportEndpointImportsFortyStudents (2.54s)
--- PASS: TestImportEndpointReportsBadRowsWithLineNumbers (0.34s)
--- PASS: TestImportEndpointIsIdempotentOnReimport (2.47s)
--- PASS: TestImportEndpointReusesExistingClass (0.43s)
--- PASS: TestImportEndpointRejectsBadHeadersAndFormats (0.33s)
--- PASS: TestImportEndpointAcceptsXLSX (0.41s)
--- PASS: TestAdminUsersScopedToTeachersClasses (0.62s)
