班级,单元序号,单元名称,关卡序号,关卡名称,关卡类型,限时(分钟),是否Boss,备考目标,题型,题干,选项,正确答案,考点,解析,听力原文,知识点,难度,启用
2024级英语1班,13,S4验收演示单元,1,阅读 · 选词填空（第 10 周真题）,阅读,8,否,四级,选词填空,"It may sound surprising, but people who are supersensitive to coffee's bitter taste actually drink more of it, a new study finds.
This sensitivity isn't (26) a matter of taste, either, but rather is influenced by a person's genetic makeup, the researchers said in the study.
“You'd expect that people who are particularly sensitive to the bitter taste of caffeine would drink less coffee,” said study senior researcher Marilyn Cornelis. “The (27) results of our study suggest coffee consumers acquire a taste for or an ability to detect the bitterness of caffeine due to the learned positive (28) brought out by caffeine.”
Put another way, people who have a (29) ability to taste the bitterness of coffee learn to associate “good things with it,” Cornelis said. This finding is surprising, given that bitterness often serves as a warning mechanism to (30) people to spit out harmful substances, scientists said.
Researchers conducted the study to understand how genetics influences people's (31) of tea, coffee and alcohol which tend to taste bitter, said lead study researcher Jue Sheng Ong.
“While all bitter flavors may seem the same, we (32) the bitterness of Brussels sprouts (抱子甘蓝), quinine (奎宁) and caffeine (33),” Ong told Live Science. “The degree to which we find these flavors bitter is, in part, determined by your genes.”
People with the genes to taste the bitterness of green vegetables are more likely to prefer tea to coffee. In (34), people who were more sensitive to quinine's bitter flavors and those found in green vegetables tended to (35) coffee.

【本题第 26 空】(26)",addition|approximately|avoid|consumption|converted|convince|heightened|omission|opposite|perceive|prospect|reinforcement|separately|simply|targeted,N,"simply adv. 仅仅,只","【答案】simply adv. 仅仅,只
【语法分析】空格前为 be 动词 isn't,空格后为名词短语 a matter of taste,句子主干结构完整,因此本空应填入副词作状语。
【语义判断】空格所在句指出,研究人员表示,这种敏感性并不______与个人口味有关,而是受到个体基因构成的影响。结合句意可知,此处想表达这种敏感性不只是和口味有关,因此本空应填入具有“仅仅,只”含义的副词,N) simply(仅仅,只)符合文意,故为答案。",,演示,1,是
2024级英语1班,13,S4验收演示单元,1,阅读 · 选词填空（第 10 周真题）,阅读,8,否,四级,选词填空,"It may sound surprising, but people who are supersensitive to coffee's bitter taste actually drink more of it, a new study finds.
This sensitivity isn't (26) a matter of taste, either, but rather is influenced by a person's genetic makeup, the researchers said in the study.
“You'd expect that people who are particularly sensitive to the bitter taste of caffeine would drink less coffee,” said study senior researcher Marilyn Cornelis. “The (27) results of our study suggest coffee consumers acquire a taste for or an ability to detect the bitterness of caffeine due to the learned positive (28) brought out by caffeine.”
Put another way, people who have a (29) ability to taste the bitterness of coffee learn to associate “good things with it,” Cornelis said. This finding is surprising, given that bitterness often serves as a warning mechanism to (30) people to spit out harmful substances, scientists said.
Researchers conducted the study to understand how genetics influences people's (31) of tea, coffee and alcohol which tend to taste bitter, said lead study researcher Jue Sheng Ong.
“While all bitter flavors may seem the same, we (32) the bitterness of Brussels sprouts (抱子甘蓝), quinine (奎宁) and caffeine (33),” Ong told Live Science. “The degree to which we find these flavors bitter is, in part, determined by your genes.”
People with the genes to taste the bitterness of green vegetables are more likely to prefer tea to coffee. In (34), people who were more sensitive to quinine's bitter flavors and those found in green vegetables tended to (35) coffee.

【本题第 27 空】(27)",addition|approximately|avoid|consumption|converted|convince|heightened|omission|opposite|perceive|prospect|reinforcement|separately|simply|targeted,I,opposite adj. 相反的,"【答案】opposite adj. 相反的
【语法分析】空格前为定冠词 The,空格后为名词 results,因此本空应填入形容词作定语,修饰名词。
【语义判断】空格所在句指出,但我们研究的结果恰恰______,它表明咖啡饮用者通过咖啡带来的积极______,逐渐适应或有能力分辨咖啡因的苦味。前文提到人们普遍认为对咖啡因苦味敏感的人会少喝咖啡,本句用转折引出研究得出的不同结论,因此本空应填入具有“相反的”含义的形容词,I) opposite(相反的)符合文意,故为答案。",,演示,1,是
2024级英语1班,13,S4验收演示单元,1,阅读 · 选词填空（第 10 周真题）,阅读,8,否,四级,选词填空,"It may sound surprising, but people who are supersensitive to coffee's bitter taste actually drink more of it, a new study finds.
This sensitivity isn't (26) a matter of taste, either, but rather is influenced by a person's genetic makeup, the researchers said in the study.
“You'd expect that people who are particularly sensitive to the bitter taste of caffeine would drink less coffee,” said study senior researcher Marilyn Cornelis. “The (27) results of our study suggest coffee consumers acquire a taste for or an ability to detect the bitterness of caffeine due to the learned positive (28) brought out by caffeine.”
Put another way, people who have a (29) ability to taste the bitterness of coffee learn to associate “good things with it,” Cornelis said. This finding is surprising, given that bitterness often serves as a warning mechanism to (30) people to spit out harmful substances, scientists said.
Researchers conducted the study to understand how genetics influences people's (31) of tea, coffee and alcohol which tend to taste bitter, said lead study researcher Jue Sheng Ong.
“While all bitter flavors may seem the same, we (32) the bitterness of Brussels sprouts (抱子甘蓝), quinine (奎宁) and caffeine (33),” Ong told Live Science. “The degree to which we find these flavors bitter is, in part, determined by your genes.”
People with the genes to taste the bitterness of green vegetables are more likely to prefer tea to coffee. In (34), people who were more sensitive to quinine's bitter flavors and those found in green vegetables tended to (35) coffee.

【本题第 28 空】(28)",addition|approximately|avoid|consumption|converted|convince|heightened|omission|opposite|perceive|prospect|reinforcement|separately|simply|targeted,L,"reinforcement n. 加强,巩固","【答案】reinforcement n. 加强,巩固
【语法分析】空格前为 due to the learned positive,空格后为过去分词短语 brought out by caffeine,因此本空应填入名词作介词短语的中心词。
【语义判断】空格所在句指出,但我们研究的结果恰恰相反,表明咖啡饮用者通过咖啡带来的积极______,逐渐适应或有能力分辨咖啡因的苦味。结合语境可知,此处指咖啡带来的积极作用不断加深人们对苦味的接受度,因此本空应填入具有“加强,巩固”含义的名词,L) reinforcement(加强,巩固)符合文意,故为答案。",,演示,1,是
2024级英语1班,13,S4验收演示单元,1,阅读 · 选词填空（第 10 周真题）,阅读,8,否,四级,选词填空,"It may sound surprising, but people who are supersensitive to coffee's bitter taste actually drink more of it, a new study finds.
This sensitivity isn't (26) a matter of taste, either, but rather is influenced by a person's genetic makeup, the researchers said in the study.
“You'd expect that people who are particularly sensitive to the bitter taste of caffeine would drink less coffee,” said study senior researcher Marilyn Cornelis. “The (27) results of our study suggest coffee consumers acquire a taste for or an ability to detect the bitterness of caffeine due to the learned positive (28) brought out by caffeine.”
Put another way, people who have a (29) ability to taste the bitterness of coffee learn to associate “good things with it,” Cornelis said. This finding is surprising, given that bitterness often serves as a warning mechanism to (30) people to spit out harmful substances, scientists said.
Researchers conducted the study to understand how genetics influences people's (31) of tea, coffee and alcohol which tend to taste bitter, said lead study researcher Jue Sheng Ong.
“While all bitter flavors may seem the same, we (32) the bitterness of Brussels sprouts (抱子甘蓝), quinine (奎宁) and caffeine (33),” Ong told Live Science. “The degree to which we find these flavors bitter is, in part, determined by your genes.”
People with the genes to taste the bitterness of green vegetables are more likely to prefer tea to coffee. In (34), people who were more sensitive to quinine's bitter flavors and those found in green vegetables tended to (35) coffee.

【本题第 29 空】(29)",addition|approximately|avoid|consumption|converted|convince|heightened|omission|opposite|perceive|prospect|reinforcement|separately|simply|targeted,G,"heightened adj. 增强的,提高的","【答案】heightened adj. 增强的,提高的
【语法分析】空格前为不定冠词 a,空格后为名词 ability,因此本空应填入形容词作定语,修饰名词。
【语义判断】空格所在句指出,换句话说,那些对咖啡苦味感知______人,会将“美好的体验与它”联系起来。结合句意可知,此处形容人们感知苦味的能力有所提升,因此本空应填入具有“增强的,提高的”含义的形容词,G) heightened(增强的,提高的)符合文意,故为答案。",,演示,1,是
2024级英语1班,13,S4验收演示单元,1,阅读 · 选词填空（第 10 周真题）,阅读,8,否,四级,选词填空,"It may sound surprising, but people who are supersensitive to coffee's bitter taste actually drink more of it, a new study finds.
This sensitivity isn't (26) a matter of taste, either, but rather is influenced by a person's genetic makeup, the researchers said in the study.
“You'd expect that people who are particularly sensitive to the bitter taste of caffeine would drink less coffee,” said study senior researcher Marilyn Cornelis. “The (27) results of our study suggest coffee consumers acquire a taste for or an ability to detect the bitterness of caffeine due to the learned positive (28) brought out by caffeine.”
Put another way, people who have a (29) ability to taste the bitterness of coffee learn to associate “good things with it,” Cornelis said. This finding is surprising, given that bitterness often serves as a warning mechanism to (30) people to spit out harmful substances, scientists said.
Researchers conducted the study to understand how genetics influences people's (31) of tea, coffee and alcohol which tend to taste bitter, said lead study researcher Jue Sheng Ong.
“While all bitter flavors may seem the same, we (32) the bitterness of Brussels sprouts (抱子甘蓝), quinine (奎宁) and caffeine (33),” Ong told Live Science. “The degree to which we find these flavors bitter is, in part, determined by your genes.”
People with the genes to taste the bitterness of green vegetables are more likely to prefer tea to coffee. In (34), people who were more sensitive to quinine's bitter flavors and those found in green vegetables tended to (35) coffee.

【本题第 30 空】(30)",addition|approximately|avoid|consumption|converted|convince|heightened|omission|opposite|perceive|prospect|reinforcement|separately|simply|targeted,F,"convince v. 说服,劝说;使信服","【答案】convince v. 说服,劝说;使信服
【语法分析】空格前为不定式符号 to,空格后为名词 people,因此本空应填入动词原形。
【语义判断】空格所在句指出,科学家指出,这一发现令人意外,因为苦味通常是一种警示机制,______人们吐出有害物质。结合常识与句意可知,苦味会让人产生警觉、劝使人们吐出有害物质,因此本空应填入具有“说服,劝说”含义的动词原形,F) convince(说服,劝说;使信服)符合文意,故为答案。",,演示,1,是
2024级英语1班,13,S4验收演示单元,1,阅读 · 选词填空（第 10 周真题）,阅读,8,否,四级,选词填空,"It may sound surprising, but people who are supersensitive to coffee's bitter taste actually drink more of it, a new study finds.
This sensitivity isn't (26) a matter of taste, either, but rather is influenced by a person's genetic makeup, the researchers said in the study.
“You'd expect that people who are particularly sensitive to the bitter taste of caffeine would drink less coffee,” said study senior researcher Marilyn Cornelis. “The (27) results of our study suggest coffee consumers acquire a taste for or an ability to detect the bitterness of caffeine due to the learned positive (28) brought out by caffeine.”
Put another way, people who have a (29) ability to taste the bitterness of coffee learn to associate “good things with it,” Cornelis said. This finding is surprising, given that bitterness often serves as a warning mechanism to (30) people to spit out harmful substances, scientists said.
Researchers conducted the study to understand how genetics influences people's (31) of tea, coffee and alcohol which tend to taste bitter, said lead study researcher Jue Sheng Ong.
“While all bitter flavors may seem the same, we (32) the bitterness of Brussels sprouts (抱子甘蓝), quinine (奎宁) and caffeine (33),” Ong told Live Science. “The degree to which we find these flavors bitter is, in part, determined by your genes.”
People with the genes to taste the bitterness of green vegetables are more likely to prefer tea to coffee. In (34), people who were more sensitive to quinine's bitter flavors and those found in green vegetables tended to (35) coffee.

【本题第 31 空】(31)",addition|approximately|avoid|consumption|converted|convince|heightened|omission|opposite|perceive|prospect|reinforcement|separately|simply|targeted,D,"consumption n. 饮用,食用","【答案】consumption n. 饮用,食用
【语法分析】空格前为名词所有格 people's,空格后为介词 of,因此本空应填入名词。
【语义判断】空格所在句指出,据该研究的主要研究员翁祖胜介绍,研究人员开展这项研究是为了了解基因如何影响人们对茶、咖啡和酒精等通常带有苦味饮品的______。结合后文提及的喝咖啡、饮酒等行为可知,此处指饮品的饮用,因此本空应填入具有“饮用”含义的名词,D) consumption(饮用,食用)符合文意,故为答案。",,演示,1,是
2024级英语1班,13,S4验收演示单元,1,阅读 · 选词填空（第 10 周真题）,阅读,8,否,四级,选词填空,"It may sound surprising, but people who are supersensitive to coffee's bitter taste actually drink more of it, a new study finds.
This sensitivity isn't (26) a matter of taste, either, but rather is influenced by a person's genetic makeup, the researchers said in the study.
“You'd expect that people who are particularly sensitive to the bitter taste of caffeine would drink less coffee,” said study senior researcher Marilyn Cornelis. “The (27) results of our study suggest coffee consumers acquire a taste for or an ability to detect the bitterness of caffeine due to the learned positive (28) brought out by caffeine.”
Put another way, people who have a (29) ability to taste the bitterness of coffee learn to associate “good things with it,” Cornelis said. This finding is surprising, given that bitterness often serves as a warning mechanism to (30) people to spit out harmful substances, scientists said.
Researchers conducted the study to understand how genetics influences people's (31) of tea, coffee and alcohol which tend to taste bitter, said lead study researcher Jue Sheng Ong.
“While all bitter flavors may seem the same, we (32) the bitterness of Brussels sprouts (抱子甘蓝), quinine (奎宁) and caffeine (33),” Ong told Live Science. “The degree to which we find these flavors bitter is, in part, determined by your genes.”
People with the genes to taste the bitterness of green vegetables are more likely to prefer tea to coffee. In (34), people who were more sensitive to quinine's bitter flavors and those found in green vegetables tended to (35) coffee.

【本题第 32 空】(32)",addition|approximately|avoid|consumption|converted|convince|heightened|omission|opposite|perceive|prospect|reinforcement|separately|simply|targeted,J,"perceive v. 感知到,察觉到","【答案】perceive v. 感知到,察觉到
【语法分析】空格前为句子的主语 we,空格后为宾语 the bitterness,句子缺少谓语动词,因此本空应填入动词原形。
【语义判断】空格所在句指出,虽然所有苦味尝起来似乎都一样,但我们能______抱子甘蓝、奎宁和咖啡因的苦味______。结合句意可知,此处表达人体分辨、感受不同苦味的含义,因此本空应填入具有“感知到,察觉到”含义的动词,J) perceive(感知到,察觉到)符合文意,故为答案。",,演示,1,是
2024级英语1班,13,S4验收演示单元,1,阅读 · 选词填空（第 10 周真题）,阅读,8,否,四级,选词填空,"It may sound surprising, but people who are supersensitive to coffee's bitter taste actually drink more of it, a new study finds.
This sensitivity isn't (26) a matter of taste, either, but rather is influenced by a person's genetic makeup, the researchers said in the study.
“You'd expect that people who are particularly sensitive to the bitter taste of caffeine would drink less coffee,” said study senior researcher Marilyn Cornelis. “The (27) results of our study suggest coffee consumers acquire a taste for or an ability to detect the bitterness of caffeine due to the learned positive (28) brought out by caffeine.”
Put another way, people who have a (29) ability to taste the bitterness of coffee learn to associate “good things with it,” Cornelis said. This finding is surprising, given that bitterness often serves as a warning mechanism to (30) people to spit out harmful substances, scientists said.
Researchers conducted the study to understand how genetics influences people's (31) of tea, coffee and alcohol which tend to taste bitter, said lead study researcher Jue Sheng Ong.
“While all bitter flavors may seem the same, we (32) the bitterness of Brussels sprouts (抱子甘蓝), quinine (奎宁) and caffeine (33),” Ong told Live Science. “The degree to which we find these flavors bitter is, in part, determined by your genes.”
People with the genes to taste the bitterness of green vegetables are more likely to prefer tea to coffee. In (34), people who were more sensitive to quinine's bitter flavors and those found in green vegetables tended to (35) coffee.

【本题第 33 空】(33)",addition|approximately|avoid|consumption|converted|convince|heightened|omission|opposite|perceive|prospect|reinforcement|separately|simply|targeted,M,"separately adv. 分别地,单独地","【答案】separately adv. 分别地,单独地
【语法分析】空格所在句成分完整,空格位于句末,因此本空应填入副词作状语。
【语义判断】空格所在句指出,虽然所有苦味尝起来似乎都一样,但我们能感知到抱子甘蓝、奎宁和咖啡因的苦味______。结合句意可知,人们可以区分开不同物质的苦味,因此本空应填入具有“分别地”含义的副词,M) separately(分别地,单独地)符合文意,故为答案。",,演示,1,是
2024级英语1班,13,S4验收演示单元,1,阅读 · 选词填空（第 10 周真题）,阅读,8,否,四级,选词填空,"It may sound surprising, but people who are supersensitive to coffee's bitter taste actually drink more of it, a new study finds.
This sensitivity isn't (26) a matter of taste, either, but rather is influenced by a person's genetic makeup, the researchers said in the study.
“You'd expect that people who are particularly sensitive to the bitter taste of caffeine would drink less coffee,” said study senior researcher Marilyn Cornelis. “The (27) results of our study suggest coffee consumers acquire a taste for or an ability to detect the bitterness of caffeine due to the learned positive (28) brought out by caffeine.”
Put another way, people who have a (29) ability to taste the bitterness of coffee learn to associate “good things with it,” Cornelis said. This finding is surprising, given that bitterness often serves as a warning mechanism to (30) people to spit out harmful substances, scientists said.
Researchers conducted the study to understand how genetics influences people's (31) of tea, coffee and alcohol which tend to taste bitter, said lead study researcher Jue Sheng Ong.
“While all bitter flavors may seem the same, we (32) the bitterness of Brussels sprouts (抱子甘蓝), quinine (奎宁) and caffeine (33),” Ong told Live Science. “The degree to which we find these flavors bitter is, in part, determined by your genes.”
People with the genes to taste the bitterness of green vegetables are more likely to prefer tea to coffee. In (34), people who were more sensitive to quinine's bitter flavors and those found in green vegetables tended to (35) coffee.

【本题第 34 空】(34)",addition|approximately|avoid|consumption|converted|convince|heightened|omission|opposite|perceive|prospect|reinforcement|separately|simply|targeted,A,addition n. 增加;增加物,"【答案】addition n. 增加;增加物
【语法分析】空格前为介词 In,空格后为逗号,因此本空应填入名词构成固定短语,作状语。
【语义判断】空格所在句指出,______,对奎宁苦味更敏感以及对绿叶蔬菜苦味更敏感的人往往会______咖啡。前文介绍了一类人群的喜好,本句补充另一类人群的特点,in addition 为固定短语,意为“此外,另外”,A) addition(增加;增加物)符合文意,故为答案。",,演示,1,是
2024级英语1班,13,S4验收演示单元,1,阅读 · 选词填空（第 10 周真题）,阅读,8,否,四级,选词填空,"It may sound surprising, but people who are supersensitive to coffee's bitter taste actually drink more of it, a new study finds.
This sensitivity isn't (26) a matter of taste, either, but rather is influenced by a person's genetic makeup, the researchers said in the study.
“You'd expect that people who are particularly sensitive to the bitter taste of caffeine would drink less coffee,” said study senior researcher Marilyn Cornelis. “The (27) results of our study suggest coffee consumers acquire a taste for or an ability to detect the bitterness of caffeine due to the learned positive (28) brought out by caffeine.”
Put another way, people who have a (29) ability to taste the bitterness of coffee learn to associate “good things with it,” Cornelis said. This finding is surprising, given that bitterness often serves as a warning mechanism to (30) people to spit out harmful substances, scientists said.
Researchers conducted the study to understand how genetics influences people's (31) of tea, coffee and alcohol which tend to taste bitter, said lead study researcher Jue Sheng Ong.
“While all bitter flavors may seem the same, we (32) the bitterness of Brussels sprouts (抱子甘蓝), quinine (奎宁) and caffeine (33),” Ong told Live Science. “The degree to which we find these flavors bitter is, in part, determined by your genes.”
People with the genes to taste the bitterness of green vegetables are more likely to prefer tea to coffee. In (34), people who were more sensitive to quinine's bitter flavors and those found in green vegetables tended to (35) coffee.

【本题第 35 空】(35)",addition|approximately|avoid|consumption|converted|convince|heightened|omission|opposite|perceive|prospect|reinforcement|separately|simply|targeted,C,"avoid v. 避开,回避","【答案】avoid v. 避开,回避
【语法分析】空格前为不定式的标志词 to,空格后为名词 coffee,因此本空应填入动词原形,tend to do sth. 为固定搭配,意为“倾向于做某事,往往做某事”。
【语义判断】空格所在句指出,此外,对奎宁苦味更敏感以及对绿叶蔬菜苦味更敏感的人往往会______咖啡。结合前文研究结论可知,这类对特定苦味敏感的人会不喜欢咖啡、刻意避开咖啡,因此本空应填入具有“避开”含义的动词原形,C) avoid(避开,回避)符合文意,故为答案。",,演示,1,是
